,name,desc,date
23,R7 Speech Sciences,"https://r7.ai/
https://www.crunchbase.com/organization/r7-speech-sciences#section-overview",2018-09-13T00:14:36.509Z
24,OneDigitalTrust,"Link to website: https://www.onedigitaltrust.com

Hopkins connect: Sonny Kapoor (MS & MBA Carey Business School)

What does the company do?
- OneDigitalTrust is a platform that democratizes estate planning digitally. By making the format digital, it becomes more accessible and easier to adapt to life changes in real time. Essentially, DIY estate planning.

Why might this be interesting for ALC?
- The company has raised $1.1M in seed round funding. They offer both B2B services wherein they lease their platform to financial institutions, but they also offer their services directly to individual customers so it can be utilized in a self-service manner.",2022-04-13T21:45:41.551Z
25,Jiyyo Innovations,,2018-02-14T23:25:07.127Z
26,OutGrowth,"At OutGrowth, we select cohorts of self-starting students, linking them with purpose-driven farms through one-month, immersive internships.  ""We occupy the space where student travel meets experiential interning and merges with community engagement. We are where professional purpose is born.""

Founder: Anna Fitzgibbon
https://www.linkedin.com/in/annafitzgibbon/",2018-09-13T00:28:57.192Z
27,Homeward,"Hop Connect: https://www.linkedin.com/in/jenniferjaneschneider/
",2022-04-13T21:45:41.817Z
28,Astek Diagnostics,"Astek Diagnostics
Hop Connect: Mustard Al Adhami
",2022-04-13T21:45:41.817Z
29,SnapAttack,"Snap Attack
 * Link to website: https://www.snapattack.com
 * Hopkins Connect: Timothy Nary, Chief Product Officer/ Co-Founder
  * https://www.linkedin.com/in/timothynary/
 
 * What does this company do?
  * Snap Attack is a software based Cybersecurity company that helps organizations anticipate, fortify and respond against cyber attacks
  * Snap Attack is inspired by a team of Cybersecurity experts who specialize in real world threats. Their use of data analytics boasts “over 1,200 validated and tagged analytics across 1,000+ threats.” They use real world data to diagnose, and prevent cyber attacks.
  * Revenues are generated through an annual subscription license, with community being free, and premium upgrades being optional with additional features.
  * Note: In Series A Round of Funding, has currently raised 8M
 
 * Why might it be interesting for ALC?
  * The Cybersecurity industry is in explosive growth due to the rapid adoption of NFTs, BlockChain Currencies and other digitized assets that need to be securely managed
  * Adoption of remote/work from home practices means that companies will invest more heavily into network security. Companies will need to protect their employee projects, workflows, data, and software, in order to protect their products that are being developed on the cloud. This will cause even more demand for network security tools and resources.
  * By the turn of the next decade digitized workflows, networks, data storage and authentication will be the norm, and Cybersecurity is critical to maintaining this transition securely.
  * Cybersecurity Market Size was $217.9 Billion in 2021 and expected to grow to USD 345.4 Billion by 2026
  * https://www.marketsandmarkets.com/Market-Reports/cyber-security-market-505.html
  * Software subscription license modeling implies scalability and rapid adoptability big businesses, especially tech companies (B2B).",2022-04-13T21:45:41.814Z
30,BlueChip,"Web link- No website yet but here is more info (https://ventures.jhu.edu/news/jhu-student-bets-on-sports-gambling-advice-app/) 
 Hopkins Connect- Charlie Katz (BA)
 LinkedIn- https://www.linkedin.com/in/charlie-katz-47b654171/ 
 What does this company do?
 Blue chip is an app that helps solve 3 of the biggest pain points (lack of transparency, fragmentation, barriers) in the sports betting industry. Blue chip provides a secure platform to customers who want to place bets and connects them with trusted advisors on platform.
 Why might it be interesting for ALC?
 Raised $385k and currently working on building mvp with potential launch in August 2022. Strong possibility that Blue Chip is acquired by a Sports book such as DraftKings or FanDuel. The other possibility is that Blue Chip becomes a fully operating sports book, both of which could be exciting for ALC. It has multiple promising business revenue models.",2022-04-13T21:45:41.810Z
31,Pro,,2022-04-13T21:45:41.808Z
32,Stix,"3.5M USD raised
Your health shouldn't be a mystery. Stix gives you the tools to make confident health decisions with our in-house resources and reproductive and vaginal health products spanning pregnancy, ovulation, and yeast infection and UTI. Learn more at getstix.com.

https://www.linkedin.com/in/savannah-de-montesquiou-28888611b/",2022-04-13T21:45:41.806Z
33,Goodpath,"https://www.linkedin.com/in/leongshirley/
Goodpath is digital, integrative care for people with chronic conditions (MSK, long COVID, sleep, digestive health). It's multidisciplinary, personalized care supported by 1:1 health coaching. As a wellness benefits for employers across the country, they have a unique approach that leads to industry-leading enrollment (12%+), significant health improvement (95%), and CFO-thrilling employer ROI (2.8x).",2022-04-13T21:45:41.804Z
34,Aerial Intelligence,,2018-02-16T19:34:56.479Z
35,Agromovil,"Agromovil
https://www.agromovil.co/
Agromovil is a global Match-Batch-Pay platform that helps small farmers connect with new buyers, sell direct, and find optimized transport – to get product to market more efficiently and become dramatically more profitable. 

Andrew Mack
https://www.linkedin.com/in/andrew-mack-871b3a1/
M.A. International Relations / International Economics @ JHU SAIS",2022-04-13T21:45:41.801Z
36,NeuroLogic Solutions,"Dr. Sridevi Sarma's company
https://www.linkedin.com/in/sridevi-sarma-701b193a/
https://engineering.jhu.edu/faculty/sridevi-sarma/

A novel computational tool that quickly and accurately identifies the EZ from hundreds of EEG recordings, to assist clinicians in surgical resection of drug-resistant epilepsy patients

JHTV backed and part of the NSF SBIR Fall 2021 Boot Camp cohort",2022-04-13T21:45:41.798Z
37,BlockSyncop,"website: https://blocksynop.com/
hopkins connect: Shari Sternberger
linkedin: https://www.linkedin.com/in/ssternberger/

neural pain blocker (pain management tool)

150k raised so far in grant funding (https://www.crunchbase.com/organization/blocksyncop)",2022-04-13T21:45:41.797Z
38,Evincis Bio,"hopkins connect: unknown (department of urology, Hopkins Med?)

150k raised so far (https://www.crunchbase.com/organization/evincis-bio)
grant funding from TEDCO

urological therapeutic discovery",2022-04-13T21:45:41.793Z
39,Development United,,2018-02-14T23:23:18.325Z
40,Atom Limbs,"link: https://atomlimbs.com/
hopkins connect: not exactly sure, but definitely affiliated with APL
CEO: Tyler Hayes (https://www.linkedin.com/in/tylerhayes/)

building mind-controlled artificial limbs
raised $2.1M (equity crowdfunding)",2022-04-13T21:45:41.788Z
41,Ancient8,https://techcrunch.com/2022/01/19/ancient8-secures-4m-in-seed-to-democratize-social-and-financial-access-in-the-metaverse/,2022-04-13T21:45:41.786Z
42,Dirac Technologies,,2022-04-13T21:45:41.786Z
43,Crave,"April Cho, co-founder - SAIS Nanjing, Chinese Studies (2018). BA Econ Columbia ’17. https://www.linkedin.com/in/aprilcho1/

Crave - simple and commission free mobile ordering solution for restaurants. https://craveup.com/",2022-04-13T21:45:41.784Z
44,LUCA ltd,"Digital platform for alternative investments
https://www.linkedin.com/in/keiko-sydenham-39062115/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAMeAtwBmDpwXw8lmUQ2thPi0Aq_sT_5afk

Founder is ex MD at Blackstone Japan, Ex JPM AM Japan

SAIS '01",2022-04-13T21:45:41.780Z
45,Centese,"Centese
https://www.centese.com/
Medical devices company, creating an intelligent surgical drainage system. 

Evan Luxon MSE'10
https://www.linkedin.com/in/evanluxon/
Was previously partner at TheraNova, which is a medical device incubator, mechanical engineer by training. 

Funding: 4.9 Million

",2022-04-13T21:45:41.777Z
46,Caroo,"Caroo
https://caroo.com/
Curating snacks and meals for corporations

Sean Kelly
JHU BME --> Transferred to Columbia
History of several startups

Fundraising: 
Caroo seems to have been rebranded from SnackNation, which received $20M in funding.
",2022-04-13T21:45:41.775Z
47,caresignal,"caresignal
https://www.caresignal.health/
Automated, evidence-based SMS and IVR intervention

Avik Som BME '11
JHU BME grad and MD, PhD at Washington University in St. Louis School of Medicine
https://www.linkedin.com/in/avik-som-md-phd-86255948/

",2022-04-13T21:45:41.772Z
48,CareJourney,"CareJourney
https://carejourney.com/company/
Analytics company for healthcare organizations

Aneesh Chopra, BA '94
https://www.linkedin.com/in/apchopra/
Former Chief Technology Officer, Executive Office of the President

Funding: 4.9 Million",2022-04-13T21:45:41.769Z
49,Brius,"Brius
brius.com
Braces behind the teeth

Medhi Peikar, PhD '16
Dentistry/orthodontics degree abroad, did PhD at Hopkins
https://www.linkedin.com/in/mehdi-peikar-777b223b/ 

Funding info (if applicable) including all investors
Sonder Capital, 15.5 million



",2022-04-13T21:45:41.767Z
50,Repair Biotechnologies,"-www.repairbiotechnologies.com
-Late preclinical-stage biotech company developing therapies for cholesterol and aging-related diseases.
-Co-Founder & Chairman: Guilherme (Bill) Cherman (JHU Master of Biotechnology Enterprise and Entrepreneurship)
-Raised $2.7M over four rounds. Latest round was a Seed round. Emerging Longevity Ventures, LongevityTech.Fund, Thynk Capital, Bioverge, SENS Research Foundation, Methuselah Foundation",2022-04-13T21:45:41.766Z
51,TargTex,"https://targtex.com/

developing a product as an adjunct to surgery taking advantage of this selective therapy towards an unexplored target.",2022-04-13T21:45:41.763Z
52,Supernova,"Supernova is design system platform which joins developers and designers together

https://www.supernova.io/

$3.8M in funding",2022-04-13T21:45:41.760Z
53,Stock Productions,Stock Productions is a publishing agency that reimagines and reconfigures content for 21st-century consumers.,2022-04-13T21:45:41.758Z
54,Speak Agent,"Speak Agent, Inc. is an education company dedicated to closing the achievement gap for English Language Learners and other at-risk students.

hopkins connect: https://www.linkedin.com/in/grimley/

https://www.speakagent.com/",2022-04-13T21:45:41.756Z
55,Spartacus,"world’s first privacy service to prevent identity theft.

https://spartacus.com/

hopkins connect: https://www.linkedin.com/in/sethg/",2022-04-13T21:45:41.754Z
56,SparkWear,"Sparkwear is an events management company that features a wearable device that keeps its users connected.

https://sparkwear.technology/

hopkins connect: https://www.linkedin.com/in/john-rattray/

$50k raised",2022-04-13T21:45:41.752Z
57,ConnectedMD,"https://www.linkedin.com/in/rdesarmes/
https://angel.co/connectedmd
http://connected.md/",2018-09-13T00:31:52.760Z
58,Antara Health,"Antara Health scales patient-centered health care for everyone by adding AI-assisted health navigation. They provide patients with chronic ailments comprehensive health and financial protection, as well as concierge care coordination. 
https://www.antarahealth.com/
Hopkins connect: Nthenya Mule",2022-04-13T21:45:41.748Z
59,Something & Nothing,"Something & Nothing specializes in seltzer made from natural ingredients and low in calories.

https://somethingandnothing.co/

hopkins connect: https://www.linkedin.com/in/oliver-dixon-3b36113b/

raised $350k",2022-04-13T21:45:41.746Z
60,Solar Holler,"Solar Holler is a West Virginian electrical company that specializes in providing solar power installation and electrical services.

https://www.solarholler.com/

hopkins connect: Spencer Newman",2022-04-13T21:45:41.745Z
61,Mathison,"Hopkins connect - Paul Grossinger (BA poli sci 2011, ALC founder and GP of fund 1). Co-founder according to his personal website, but the company is not listed on his LinkedIn (and he is not on the company website). 

Mathison - Technology for diversity hiring and retention, raised 4.2M seed in April 2021 (led by Bain Capital Ventures). https://www.mathison.io",2022-04-13T21:45:41.742Z
62,Diamond Hedge,AR wedding ring ecommerce platform with $5b+ rings on platform,2022-04-13T21:45:41.739Z
63,Dark Cubed,"Obviating the need for an expensive security analyst team, Dark Cubed delivers a threat detection platform that automates the process of identifying and blocking malicious traffic attempting to access a network or exfiltrate data, and uses a SaaS architecture and patented technology to leverage real-time activity from its user ecosystem to benefit the entire Dark Cubed customer base. The company offers its solution through MSPs and other channel partners, as well as through defense-related government entities.",2022-04-13T21:45:41.737Z
64,MatrixMed,,2018-09-16T13:23:22.179Z
65,Indicio.tech,"Indicio.tech provides development and hosting services for trust data ecosystems. Enterprise, consumer, and mobile applications run on Indicio’s network and use its comprehensive ecosystem of software to issue, verify, and exchange verifiable digital credentials. Founded on the belief in reducing fraud, privacy by design, and user-friendly security, Indicio supports the open source and interoperability goals of the decentralized identity community.",2022-04-13T21:45:41.735Z
66,Cygnal,Biotech Company with $65M in funding. Would be similar to how we squeezed into ashvattha,2022-04-13T21:45:41.732Z
67,Cometeer,Frozen Coffee pod company. JHU connect has impressive resume. Only been at cometeer 9mo,2022-04-13T21:45:41.731Z
68,Codex Beauty,"Lab backed skincare
Series A 2019",2022-04-13T21:45:41.728Z
69,Nth Cycle,"https://nthcycle.com/
Developer of an electrochemical recycling device designed to transition away from reliance on primary mining of rare earth metals toward the recycling of it.

Chad Vecitis - CTO (BA'01)
https://www.linkedin.com/in/chad-vecitis-b1706219a/

Raised $4.1M through $3.2M Seed in Apr 21
Beresford Ventures, Clean Energy Venture Group, Clean Energy Ventures, Creative Destruction Lab, Innovation Crossroads, Launch Tennessee, National Science Foundation, Oak Ridge National Laboratory, Plug and Play Tech Center, Tennessee Advanced Energy Business Council, Wisdom Venture Capital",2022-04-13T21:45:41.726Z
70,Pediafeed,"Their mission is to improve gastric enteral access in neonates and infants by targeting feeding tube displacement, the major postoperative complication with the current standard of long-term assisted feeding, the gastrostomy tube. By eliminating the major barriers to feeding at the most critical stage in child development, we at Pediafeed aim to aid children in leading happier, healthier lives.

Hopkins Connect: https://www.linkedin.com/in/mihika-aedla-4a93541a0/",2022-04-13T21:45:41.722Z
71,LifeOmic,"A secure, infinitely scalable cloud platform that can serve as a central repository for all precision health and wellness data – and do so for the entire lifetime of every patient.

Founder is very STRONG: His first company was acquired by EDS in 1986. He founded Software Artistry in 1988 which became the first software company in Indiana ever to go public and was later acquired by IBM for $200 million. Don then founded and served as CEO of Interactive Intelligence which went public in 1999 and was acquired by Genesys Telecommunications Laboratories in 2016 for $1.4 billion.

Rasied series A in September 2020...not sure how capital
Too big?

Connect: Dr. Don Brown CEO (BS '17, IU '85)",2022-04-13T21:45:41.722Z
72,SimpleSense,"SimpleSense develops an emergency response platform designed to streamline coordination between public and private first responders.

 240M calls made to 911 every year. 6min is average workplace delay per incident. 
$161B is cost of average annual workplace incidents in US

Raised $630k seed round in December 2020. Total raised is $1.1M

Connect: Adam Markham CTO (Master of Science in Computer Engineering)
",2022-04-13T21:45:41.716Z
73,Kalaam,"A software that optimally plans time for users to work on your tasks based on your schedule and routine. 

Kalaam has developed an algorithm that seems to optimize workflow (""backed by several scientific papers""). Their business follows a subscription-based model. 

Global knowledge workers market size is 230million ($11.5B), in US it is 48million($2.4B), and college students in US is 20million ($1B). 

Has not raised capital yet....very early

Connects: Tiffany Zeng CMO (ALC & JHU) 
Nathan Vallapureddy. (KSAS '20)",2022-04-13T21:45:41.711Z
74,AssistENT,,2018-09-13T00:03:54.315Z
75,Symmetry Systems,,2022-04-13T21:45:41.710Z
76,SolVista,"B2B SaaS for Hotel Energy Management. They have a platform called Skywalk which enables management of energy compliance, energy efficiency tests, and utility data aggregation. 

Shannon D. Sentman, Carey Business School MBA
",2022-04-13T21:45:41.709Z
77,Phox Health,"B2B SaaS offering customized software to clinics and hospitals to deliver medication/prescriptions and a live tracking and patient system. 

Hopkins Connect: Amit Gir",2022-04-13T21:45:41.706Z
78,DigitoHealth,"Leveraging AI and Machine Learning with data from Biosensors and EHR data to provide patients with actionable insights to manage risk of chronic diseases.

Hopkins Connect: Ashkan Afshin, MPH at Johns Hopkins Bloomberg School of Public Health ",2022-04-13T21:45:41.703Z
79,Illumis,"Illumis is a B2B SaaS startup offering Public Data Monitoring for Political Organizations and Journalists. Various Solutions, such as political donor tracking and business partner due diligence. Clients include Bernie 2020 Campaign, Pete Buttigieg, Kamala Harris

Hopkins Connect: Alex Cramer, B.S. Computer Science, VP Engineering",2022-04-13T21:45:41.701Z
80,Talentspace,"Marco Eylert, SAIS International Relations 2017.  https://www.linkedin.com/in/meylert/?locale=en\_US

Talentspace is an all-in-one live online recruiting event platform. Host recruiting events online and let participants and employers connect and interact digitally. Founded 2017. 
https://talentspace.io",2022-04-13T21:45:41.699Z
81,SteriLux Systems,"SteriLux is a healthcare solutions company aimed at tackling infectious disease spread. The SteriLux SteriLocker is a UV light patent-pending, proven technology that sterilizes clothing and personal items. 
Jason Lansdown: Co-founder and CTO
Their systems have already been deployed in some assisted care facilities. Other co-founder has been awarded with Young Innovator of the Year Award. Currently, they have a research study and pilot program scheduled with major New York Hospitals. ",2022-04-13T21:45:41.698Z
82,Digital Harmonic,"Digital Harmonic provides image and signal processing. Their advanced image analytics drive time-critical decisions in the defense, healthcare and industrial applications. 
Mason Baron: CTO
Trusted by Dell, FedEx and Georgia Tech. The vast area of potential impact is also impressive. ",2022-04-13T21:45:41.694Z
83,Electica,"Electica is a data-driven marketing solution aimed at improving outreach for political movements, parties, and value-driven organizations. Their analytics identify key geographical areas for campaigns to focus on. 
Jim Arkedis, Co-founder
Analytics team all have distinguished backgrounds (MIT, Harvard, JHU). Their tech has already led to an additional 100,000 political engagements. ",2022-04-13T21:45:41.692Z
84,Faceted Beauty,"Faceted Beauty is an online subscription based company that sells custom-fit press-on manicures. Each set is reusable over three times and can be worn for up to 14 days. 
Lisa ""Liv"" Yang, CEO and Founder
Founder is passionate  about the product. Faceted Beauty already offers more than 100+ unique designs. ",2022-04-13T21:45:41.690Z
85,Hale,"Hale is a startup that sells a product that mimics nasal cartilage. It aims at improving nasal airflow. Their product sits inside the nostril and is hidden from sight. 
Clayton Andrews, CEO and Co-founder 
Hale's team includes a chief medical officer who has diagnosed and treated nasal congestion for years. ",2022-04-13T21:45:41.688Z
86,HeadGum,"HeadGum is a podcast network formed by Jake Hurwitz, Amir Blumenfeld, and Marty Michael. With studios in Los Angeles and Brooklyn, HeadGum’s goal is to produce, curate, and promote the best podcast content from around the web.

Co-founder / CTO: Andrew Pile, B.S. Comp Sci 2005

Raised $2 million dollar seed in 2020, so still in our investment range. It's a for-profit comedy podcast, which is pretty cool-- unlike anything I know of in our portfolio!",2022-04-13T21:45:41.686Z
87,Lotus Multimedia,"Lotus is a social media platform that lets users discover, experience, and share music with their friends regardless of what music streaming service they use.

Co-founder: Benjamin Salazar, current student, B.S. in MolCell '22

I think the platform solves a unique problem within the streaming industry, which is the segmentation of social media features between music platforms. Still very early, but putting it on the Trello to see where it goes.",2022-04-13T21:45:41.684Z
88,Paths,"Paths is an audio-driven social network for career path discovery and mentorship from the world’s best.

CEO / Founder: Alex Schachne, current Hopkins student, B.S. in CS '22

We know Alex, super driven and sharp guy. Keeping an eye out for what he does with Paths-- I signed up for the Beta test to see what it's about.",2022-04-13T21:45:41.681Z
89,Salo Sciences,"""Salo is a conservation analytics & monitoring company. Our mission is to enable sustainable ecosystem management by improving how landowners invest in conservation. We develop analytics products by combining ecological science, satellite imagery & artificial intelligence. We offer a consulting service for analyzing specific areas, a cartography service for custom mapping & a monitoring service for tracking change over time.""

CEO / Co-founder: Dave Marvin https://www.linkedin.com/in/dmarvs/

Salo Sciences guides stakeholders into making better conservation decisions for their land. It's an interesting investment opportunity, since there is a market for advising better environmental decisions at scale. That said, I'm bearish since I'm not too sure how profitable this kind of business is.",2022-04-13T21:45:41.680Z
90,Hoobox Robotics,"https://www.linkedin.com/in/marcos-e-schwartz/
https://twitter.com/hooboxrobotics?lang=en",2022-04-13T21:45:41.677Z
91,CortiTech,"www.corti.tech
– CortiTech is a neurosurgical device startup providing unprecedented levels of safety for deep-seated brain lesion operations with the novel minimally-invasive retractor Radiex [provisional patent filed 2/19], advised by JHU Chief Neurosurgeon Alan R. Cohen.
– 30+ prototypes with benchtop, FEA, animal, and human cadaveric studies demonstrating efficacy and safety.
– $110K+ in non-dilutive funding (as of Feb. '21): NIH/NIBIB DEBUT Challenge (1st); BMES Design Competition (1st); USPTO Collegiate Inventors Competition (2nd); JHU Healthcare Design Competition (3rd); Bisciotti Foundation Translational Fund; VentureWell E-Team Stage 1 & Stage 2; FastForward Fuel Accelerator; JHU Center for Bioengineering Innovation & Design.

Connect: Sun Jay Yoo
https://www.linkedin.com/in/sunjayyoo/",2022-04-13T21:45:41.675Z
92,Orphomed,"OrphoMed is a San Francisco Bay Area pharmaceutical company focused on the development of novel first-in-class therapeutic dimer conjugates based on its proprietary DIMERx™ platform technology. The company is leveraging its DIMERx™ technology to address the problem of visceral hypersensitivity and pancreatitis in the treatment of gastrointestinal disorders and the unmet medical needs in the treatment of both peripheral neuropathic and systemic nociceptive pain. In May 2017 Orphomed completed a $39 million Series A financing. The round was led by New Enterprise Associates (NEA), and co-led by existing seed investor Takeda Ventures, Inc., with participation from other prior investors: Pappas Capital, through its newest fund, Pappas Ventures V; Relativity Healthcare Partners and the Mario Family Fund.

Connect: Pankaj Jay Pasricha
https://www.linkedin.com/in/pankaj-jay-pasricha-34475685/",2022-04-13T21:45:41.673Z
93,Personix,"Personix is a SaaS tool that analyzes recorded customer conversations and extracts product decision insights. Companies spend millions trying to understand their customers but still have difficulty fully empathizing with them. They often lack the time and resources to conduct and analyze enough customer interviews. Personix automates the analysis process, saving time, removing human error, and maximizing the value companies get out of every conversation.

Connect: Federico Campos Dacak
https://www.linkedin.com/in/federico-campos-dacak-788340198/",2022-04-13T21:45:41.670Z
94,Aegle,,2018-02-28T23:58:52.655Z
95,Accomplish Health,"Metabolic Wellness Clinic (modern weight management clinic)

Connect: Andy Arluk
https://www.linkedin.com/in/arluk/",2022-04-13T21:45:41.669Z
96,CordeRx,"CordeRx is a Baltimore based startup lead by Johns Hopkins graduate school students. It aims to produce T-Cell therapeutics derived from umbilical cord blood.

• Company description: CordeRx is a Baltimore based startup lead by Johns Hopkins graduate school students. It aims to produce T-Cell therapeutics derived from umbilical cord blood.
• Responsibilities include: Assisting in IP licensing negations, novelty determination/competitive market analysis, stakeholder engagement, business plan and pitch development, building and maintaining company website, and acquisition of funds
• Current Progress: Completed iCorps, winner of the Freedom from Cancer startup challenge, winner at the Johns Hopkins Business plan competition, Spark grant recipient.

Connect: Kathleen DiNapoli
https://www.linkedin.com/in/dinapolik/",2022-04-13T21:45:41.666Z
97,Glyscend,,2018-09-19T16:42:03.290Z
98,OOMLA,"Cara Natterson, JHU School of Medicine 1997. Certified pediatrician and New York Times bestselling author (books about puberty body changes and growing up healthfully). https://www.linkedin.com/in/cara-natterson-md-13aa9552/

OOMLA makes the process of growing up more comfortable, with healthy products that embrace the transformations associated with puberty. Launched in 2020 with the OOMBRA (soft, cozy bra design for perfect fit) and the OOMASK (COVID pivot). https://myoomla.com
",2022-04-13T21:45:41.663Z
99,SaniTouch,,2022-04-13T21:45:41.661Z
100,Cravosity,"https://www.cravosity.org/home

Malvi Hemani - founder, CEO, BS 2015. Worked at Deloitte, now MBA/MS candidate at Kellogg School of Management https://www.linkedin.com/in/malvihemani/

Cravosity is a social dining solution that makes personalized reservations to match your group's schedules, preferences, and bucket lists. The goal is to save you time and effort when coordinating meals out with friends. 

Founded 2020 (early product access launched last month), 6 employees on LinkedIn (all current MBA candidates at Kellogg)
",2022-04-13T21:45:41.660Z
